
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
        46 -1.936006E+03 -7.335827E+02 -2.515218E+03
        47  2.257941E+03  2.030823E+02 -3.264496E+03
        48  2.319193E+03  5.670974E+02  4.585368E+03
        49 -1.794762E+03  1.058184E+02  3.532919E+03
        50 -4.364574E+03 -1.814757E+02  1.500659E+03
        51 -4.562086E+03 -2.285457E+02 -7.530483E+02
        52 -2.499334E+03 -1.351890E+02 -2.397928E+03
        53  8.176927E+02  7.876876E+01 -2.959050E+03
        54  3.856311E+03  2.881726E+02 -1.996045E+03
        55  5.228690E+03  3.509499E+02 -1.836112E+02
        56  4.307921E+03  2.997238E+02  1.775935E+03
        57  1.452263E+03  7.268771E+01  3.093079E+03
        58 -2.123009E+03 -1.975372E+02  3.014072E+03
        59 -4.911668E+03 -4.029161E+02  1.870086E+03
        60 -5.806398E+03 -5.457928E+02  5.311292E+01
        61 -4.518145E+03 -5.113252E+02 -1.412351E+03
        62 -2.134306E+03 -5.496645E+02 -1.390886E+03
        63 -2.134306E+03 -5.496645E+02  1.390886E+03
        64 -4.518145E+03 -5.113252E+02  1.412351E+03
        65 -5.806398E+03 -5.457928E+02 -5.311292E+01
        66 -4.911668E+03 -4.029161E+02 -1.870086E+03
        67 -2.123009E+03 -1.975372E+02 -3.014072E+03
        68  1.452263E+03  7.268771E+01 -3.093079E+03
        69  4.307921E+03  2.997238E+02 -1.775935E+03
        70  5.228690E+03  3.509499E+02  1.836112E+02
        71  3.856311E+03  2.881726E+02  1.996045E+03
        72  8.176927E+02  7.876876E+01  2.959050E+03
        73 -2.499334E+03 -1.351890E+02  2.397928E+03
        74 -4.562086E+03 -2.285457E+02  7.530483E+02
        75 -4.364574E+03 -1.814757E+02 -1.500659E+03
        76 -1.794762E+03  1.058184E+02 -3.532919E+03
        77  2.319193E+03  5.670974E+02 -4.585368E+03
        78 -2.068317E+03 -1.574972E+02 -9.902243E+02
        79 -4.604358E+03 -1.023689E+03 -1.005506E+03
        80 -5.955750E+03 -1.433386E+03  3.781309E+01
        81 -5.058361E+03 -1.274709E+03  1.331385E+03
        82 -2.178318E+03 -5.262333E+02  2.145831E+03
        83  1.511723E+03  4.260527E+02  2.202080E+03
        84  4.455170E+03  1.174813E+03  1.264355E+03
        85  5.411857E+03  1.439501E+03 -1.307198E+02
        86  3.981241E+03  1.030627E+03 -1.421060E+03
        87  8.380650E+02  1.998403E+02 -2.106659E+03
        88 -2.598168E+03 -7.225513E+02 -1.707175E+03
        89 -4.748799E+03 -1.338167E+03 -5.361235E+02
        90 -4.556078E+03 -1.319574E+03  1.068376E+03
        91 -1.936006E+03 -7.335827E+02  2.515218E+03
        92  2.257941E+03  2.030823E+02  3.264496E+03
        93  0.000000E+00  0.000000E+00  0.000000E+00
        94  0.000000E+00  0.000000E+00  0.000000E+00
        95  0.000000E+00  0.000000E+00  0.000000E+00
        96  0.000000E+00  0.000000E+00  0.000000E+00
        97  0.000000E+00  0.000000E+00  0.000000E+00
        98  6.719884E+03  1.139081E+03  3.501211E+02
        99  6.769495E+03  1.130733E+03  2.080750E+03
       100  6.742934E+03  1.134612E+03  1.608030E-11
       101  6.769495E+03  1.130733E+03 -2.080750E+03
       102  6.719884E+03  1.139081E+03 -3.501211E+02
       103 -2.026510E+03 -3.661746E+02 -2.056200E+02
       104 -4.628754E+03 -6.281061E+02 -5.936900E+02
       105 -4.712899E+03 -7.492548E+02 -2.183605E+02
       106 -4.672179E+03 -8.835717E+02  1.563382E+02
       107 -6.013344E+03 -9.516163E+02  4.146014E+00
       108 -5.111062E+03 -6.029770E+02  9.868501E+02
       109 -5.170207E+03 -8.023898E+02  2.741781E+02
       110 -5.184153E+03 -1.014068E+03 -4.357687E+02
       111 -2.208674E+03 -3.476255E+02  4.455475E+02
       112  1.532165E+03  1.527976E+02  1.608143E+03
       113  1.558675E+03  2.344183E+02  4.562417E+02
       114  1.561852E+03  3.218047E+02 -6.924918E+02
       115  4.547862E+03  6.998482E+02  2.627598E+02
       116  5.470428E+03  5.961541E+02 -8.765411E+01
       117  5.558104E+03  8.497455E+02 -2.766735E+01
       118  5.561881E+03  1.122307E+03  3.216210E+01
       119  4.057407E+03  6.276726E+02 -2.966485E+02
       120  8.444060E+02  1.064475E+02 -1.513790E+03
       121  8.526430E+02  1.342760E+02 -4.381780E+02
       122  8.545614E+02  1.639644E+02  6.339826E+02
       123 -2.664098E+03 -4.037996E+02 -3.570482E+02
       124 -4.811171E+03 -4.777973E+02 -3.588217E+02
       125 -4.903810E+03 -7.368158E+02 -1.136265E+02
       126 -4.904483E+03 -1.015503E+03  1.308056E+02
       127 -4.692543E+03 -7.021272E+02  2.187542E+02
       128 -1.986022E+03 -7.864247E+01  1.916218E+03
       129 -2.068152E+03 -2.783357E+02  5.158861E+02
       130 -2.056744E+03 -4.948885E+02 -8.819206E+02
       131  2.193876E+03  4.008370E+02  6.687804E+02
       132 -2.176155E+03 -3.409943E+02  1.221988E+03
       133 -4.513401E+03 -9.115548E+02  1.236476E+03
       134 -4.452779E+03 -7.930243E+02  1.297704E+03
       135 -4.470415E+03 -6.534834E+02  1.362681E+03
       136 -5.655402E+03 -1.011846E+03 -2.463953E+01
       137 -4.839590E+03 -1.083360E+03 -1.517833E+03
       138 -4.768557E+03 -8.699740E+02 -1.629425E+03
       139 -4.770417E+03 -6.489823E+02 -1.757213E+03
       140 -2.065919E+03 -3.716465E+02 -2.647864E+03
       141  1.424487E+03  3.485241E+02 -2.527271E+03
       142  1.393135E+03  2.622733E+02 -2.711419E+03
       143  1.396048E+03  1.720960E+02 -2.914392E+03
       144  4.159158E+03  7.652541E+02 -1.561567E+03
       145  5.150626E+03  1.199935E+03  1.548124E+02
       146  5.049990E+03  9.352442E+02  1.644255E+02
       147  5.062092E+03  6.564358E+02  1.749735E+02
       148  3.730223E+03  6.827267E+02  1.762965E+03
       149  8.083602E+02  1.731165E+02  2.433624E+03
       150  7.979945E+02  1.434715E+02  2.604067E+03
       151  7.986820E+02  1.127633E+02  2.795023E+03
       152 -2.399758E+03 -4.482792E+02  2.121917E+03
       153 -4.482538E+03 -1.094684E+03  6.363493E+02
       154 -4.378855E+03 -8.251483E+02  6.752759E+02
       155 -4.392060E+03 -5.401377E+02  7.187373E+02
       156 -4.172702E+03 -7.895990E+02 -1.300044E+03
       157 -1.739251E+03 -5.502791E+02 -2.837969E+03
       158 -1.654134E+03 -3.480012E+02 -3.065882E+03
       159 -1.669211E+03 -1.299840E+02 -3.308803E+03
       160  2.382152E+03  3.691565E+02 -3.974524E+03
       161 -2.026510E+03 -3.661746E+02  2.056200E+02
       162 -4.628754E+03 -6.281061E+02  5.936900E+02
       163 -4.712899E+03 -7.492548E+02  2.183605E+02
       164 -4.672179E+03 -8.835717E+02 -1.563382E+02
       165 -6.013344E+03 -9.516163E+02 -4.146014E+00
       166 -5.111062E+03 -6.029770E+02 -9.868501E+02
       167 -5.170207E+03 -8.023898E+02 -2.741781E+02
       168 -5.184153E+03 -1.014068E+03  4.357687E+02
       169 -2.208674E+03 -3.476255E+02 -4.455475E+02
       170  1.532165E+03  1.527976E+02 -1.608143E+03
       171  1.558675E+03  2.344183E+02 -4.562417E+02
       172  1.561852E+03  3.218047E+02  6.924918E+02
       173  4.547862E+03  6.998482E+02 -2.627598E+02
       174  5.470428E+03  5.961541E+02  8.765411E+01
       175  5.558104E+03  8.497455E+02  2.766735E+01
       176  5.561881E+03  1.122307E+03 -3.216210E+01
       177  4.057407E+03  6.276726E+02  2.966485E+02
       178  8.444060E+02  1.064475E+02  1.513790E+03
       179  8.526430E+02  1.342760E+02  4.381780E+02
       180  8.545614E+02  1.639644E+02 -6.339826E+02
       181 -2.664098E+03 -4.037996E+02  3.570482E+02
       182 -4.811171E+03 -4.777973E+02  3.588217E+02
       183 -4.903810E+03 -7.368158E+02  1.136265E+02
       184 -4.904483E+03 -1.015503E+03 -1.308056E+02
       185 -4.692543E+03 -7.021272E+02 -2.187542E+02
       186 -1.986022E+03 -7.864247E+01 -1.916218E+03
       187 -2.068152E+03 -2.783357E+02 -5.158861E+02
       188 -2.056744E+03 -4.948885E+02  8.819206E+02
       189  2.193876E+03  4.008370E+02 -6.687804E+02
       190 -2.176155E+03 -3.409943E+02 -1.221988E+03
       191 -4.513401E+03 -9.115548E+02 -1.236476E+03
       192 -4.452779E+03 -7.930243E+02 -1.297704E+03
       193 -4.470415E+03 -6.534834E+02 -1.362681E+03
       194 -5.655402E+03 -1.011846E+03  2.463953E+01
       195 -4.839590E+03 -1.083360E+03  1.517833E+03
       196 -4.768557E+03 -8.699740E+02  1.629425E+03
       197 -4.770417E+03 -6.489823E+02  1.757213E+03
       198 -2.065919E+03 -3.716465E+02  2.647864E+03
       199  1.424487E+03  3.485241E+02  2.527271E+03
       200  1.393135E+03  2.622733E+02  2.711419E+03
       201  1.396048E+03  1.720960E+02  2.914392E+03
       202  4.159158E+03  7.652541E+02  1.561567E+03
       203  5.150626E+03  1.199935E+03 -1.548124E+02
       204  5.049990E+03  9.352442E+02 -1.644255E+02
       205  5.062092E+03  6.564358E+02 -1.749735E+02
       206  3.730223E+03  6.827267E+02 -1.762965E+03
       207  8.083602E+02  1.731165E+02 -2.433624E+03
       208  7.979945E+02  1.434715E+02 -2.604067E+03
       209  7.986820E+02  1.127633E+02 -2.795023E+03
       210 -2.399758E+03 -4.482792E+02 -2.121917E+03
       211 -4.482538E+03 -1.094684E+03 -6.363493E+02
       212 -4.378855E+03 -8.251483E+02 -6.752759E+02
       213 -4.392060E+03 -5.401377E+02 -7.187373E+02
       214 -4.172702E+03 -7.895990E+02  1.300044E+03
       215 -1.739251E+03 -5.502791E+02  2.837969E+03
       216 -1.654134E+03 -3.480012E+02  3.065882E+03
       217 -1.669211E+03 -1.299840E+02  3.308803E+03
       218  2.382152E+03  3.691565E+02  3.974524E+03
       219 -2.084263E+03 -3.507122E+02 -5.135926E-12
       220 -4.644788E+03 -7.642985E+02 -7.624455E+01
       221 -4.542183E+03 -7.815635E+02 -4.531170E+02
       222 -4.606438E+03 -7.751104E+02 -1.017692E-11
       223 -4.542183E+03 -7.815635E+02  4.531170E+02
       224 -4.644788E+03 -7.642985E+02  7.624455E+01
       225 -5.814715E+03 -9.784233E+02 -1.467409E-11
       226 -5.012102E+03 -8.323451E+02  1.248738E+02
       227 -4.946580E+03 -8.433703E+02  7.421182E+02
       228 -4.976842E+03 -8.374371E+02 -1.650484E-11
       229 -4.946580E+03 -8.433703E+02 -7.421182E+02
       230 -5.012102E+03 -8.323451E+02 -1.248738E+02
       231 -2.134770E+03 -3.592109E+02 -1.609115E-11
       232  1.494263E+03  2.462311E+02  2.045305E+02
       233  1.463337E+03  2.514348E+02  1.215513E+03
       234  1.477956E+03  2.486908E+02 -1.748464E-11
       235  1.463337E+03  2.514348E+02 -1.215513E+03
       236  1.494263E+03  2.462311E+02 -2.045305E+02
       237  4.344862E+03  7.310959E+02 -1.713452E-11
       238  5.363969E+03  8.852266E+02 -1.126532E+01
       239  5.260852E+03  9.025778E+02 -6.694919E+01
       240  5.311696E+03  8.937820E+02 -1.539223E-11
       241  5.260852E+03  9.025778E+02  6.694919E+01
       242  5.363969E+03  8.852266E+02  1.126532E+01
       243  3.885915E+03  6.538705E+02 -1.471084E-11
       244  8.314723E+02  1.383245E+02 -1.928586E+02
       245  8.220548E+02  1.399092E+02 -1.146148E+03
       246  8.265873E+02  1.390872E+02 -9.804499E-12
       247  8.220548E+02  1.399092E+02  1.146148E+03
       248  8.314723E+02  1.383245E+02  1.928586E+02
       249 -2.526240E+03 -4.250824E+02 -5.638702E-12
       250 -4.703418E+03 -7.731061E+02 -4.617157E+01
       251 -4.594526E+03 -7.914291E+02 -2.743950E+02
       252 -4.648094E+03 -7.821198E+02 -9.551830E-13
       253 -4.594526E+03 -7.914291E+02  2.743950E+02
       254 -4.703418E+03 -7.731061E+02  4.617157E+01
       255 -4.423034E+03 -7.442497E+02  3.335283E-12
       256 -1.911402E+03 -3.051093E+02  2.426553E+02
       257 -1.813248E+03 -3.216255E+02  1.442087E+03
       258 -1.861871E+03 -3.132911E+02  1.045960E-11
       259 -1.813248E+03 -3.216255E+02 -1.442087E+03
       260 -1.911402E+03 -3.051093E+02 -2.426553E+02
       261  2.290134E+03  3.853535E+02  1.393900E-11

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.1000000E+01

         1   1 -3.160211E+08 -3.024641E+08 -8.270945E+08  1.056277E+07 -2.587244E+08 -9.291141E+07
         1   2 -1.642791E+08 -1.646998E+08 -4.654849E+08  9.818652E+06 -2.581626E+08 -7.259177E+07
         1   3 -4.434947E+07 -5.876180E+07 -1.780903E+08  9.060155E+06 -2.563255E+08 -5.192079E+07
         1   4 -2.968466E+08 -2.819119E+08 -7.784458E+08  3.480780E+06 -2.631909E+08 -7.034291E+07
         1   5 -1.436831E+08 -1.426621E+08 -4.134591E+08  2.733305E+06 -2.629238E+08 -5.987413E+07
         1   6 -2.087201E+07 -3.377860E+07 -1.192804E+08  1.971454E+06 -2.614061E+08 -4.906602E+07
         1   7 -2.772117E+08 -2.609066E+08 -7.287473E+08 -3.583577E+06 -2.700007E+08 -4.763876E+07
         1   8 -1.249123E+08 -1.224568E+08 -3.657160E+08 -4.334406E+06 -2.700221E+08 -4.699053E+07
         1   9 -1.505092E+06 -1.291322E+07 -7.008600E+07 -5.099610E+06 -2.688176E+08 -4.601499E+07
         1  10 -4.946766E+07 -1.741637E+07 -2.672945E+08  2.338498E+07 -1.178149E+08 -1.939669E+07
         1  11  1.706854E+07  1.823281E+07 -1.096957E+08  2.185019E+07 -1.791435E+08 -2.086525E+07
         1  12  5.175631E+07  2.197152E+07 -2.634779E+07  2.025163E+07 -2.391967E+08 -2.003569E+07
         1  13 -4.701228E+07 -1.238190E+07 -2.560039E+08  7.528212E+06 -1.131376E+08 -2.660005E+07
         1  14  2.171555E+07  2.574295E+07 -9.302256E+07  5.978545E+06 -1.714458E+08 -2.891213E+07
         1  15  6.005505E+07  3.341743E+07 -8.853274E+05  4.365100E+06 -2.285033E+08 -2.893812E+07
         1  16 -4.405276E+07 -6.875577E+06 -2.436446E+08 -8.250311E+06 -1.138508E+08 -3.366774E+07
         1  17  2.458124E+07  3.143949E+07 -8.061350E+07 -9.814859E+06 -1.691324E+08 -3.679306E+07
         1  18  6.428698E+07  4.076426E+07  1.498035E+07 -1.144318E+07 -2.231879E+08 -3.764429E+07
         1  19 -1.043494E+07 -3.413031E+06  1.429360E+08 -1.627231E+05 -9.060890E+07  3.282035E+07
         1  20  7.059271E+06  1.450327E+07  1.326879E+08  2.484719E+05 -2.138278E+08  1.069988E+07
         1  21 -7.330984E+06  4.250226E+05  4.815287E+07  5.464889E+05 -3.357713E+08 -7.175704E+06
         1  22 -1.512043E+07 -9.791334E+06  1.209735E+08 -6.850417E+05 -7.565141E+07 -4.154847E+06
         1  23  5.335619E+06  1.159087E+07  1.181132E+08 -3.002528E+05 -1.925348E+08 -1.811153E+07
         1  24 -4.632708E+06  2.438608E+06  4.437284E+07 -2.864203E+04 -3.081675E+08 -2.783534E+07
         1  25 -1.925804E+07 -1.567903E+07  1.000985E+08 -1.068510E+06 -6.913183E+07 -4.099439E+07
         1  26  1.874389E+06  6.883614E+06  9.929328E+07 -7.101272E+05 -1.796735E+08 -4.675698E+07
         1  27 -5.957475E+06  3.718686E+05  3.101477E+07 -4.649225E+05 -2.889892E+08 -4.829871E+07
         2   1 -4.342826E+07 -3.382313E+07 -6.392515E+07  1.082929E+07 -2.547643E+08 -3.856537E+07
         2   2  7.621560E+07  7.148828E+07  2.230055E+08  9.185326E+06 -2.488451E+08 -1.433123E+07
         2   3  2.296827E+08  2.106403E+08  5.888398E+08  7.520037E+06 -2.416233E+08  8.719518E+06
         2   4 -2.032328E+07 -7.514957E+06 -4.302444E+05  3.587523E+06 -2.603655E+08 -4.159392E+07
         2   5  1.026471E+08  1.012129E+08  2.943571E+08  1.945943E+06 -2.575096E+08 -2.769753E+07
         2   6  2.571040E+08  2.414446E+08  6.625958E+08  2.830418E+05 -2.533876E+08 -1.496965E+07
         2   7 -2.879558E+06  1.314450E+07  4.989687E+07 -3.630605E+06 -2.685468E+08 -4.440557E+07
         2   8  1.204930E+08  1.223645E+08  3.457175E+08 -5.269797E+06 -2.687648E+08 -4.080630E+07
         2   9  2.730153E+08  2.607515E+08  7.095371E+08 -6.930310E+06 -2.677534E+08 -3.836068E+07
         2  10 -5.715382E+07 -3.850919E+07 -5.650052E+07  2.428925E+07 -2.414760E+08 -1.822775E+07
         2  11 -2.235159E+07 -3.557759E+07  2.742413E+07  2.051625E+07 -1.803709E+08 -1.710282E+07
         2  12  4.631853E+07  1.298739E+06  1.902970E+08  1.664865E+07 -1.179630E+08 -2.027691E+07
         2  13 -5.266616E+07 -2.685145E+07 -2.698274E+07  8.018763E+06 -2.290770E+08 -2.795270E+07
         2  14 -1.406527E+07 -1.972223E+07  6.622627E+07  4.256352E+06 -1.714238E+08 -2.878142E+07
         2  15  5.606678E+07  1.901500E+07  2.329312E+08  3.993482E+05 -1.125045E+08 -3.389428E+07
         2  16 -5.391518E+07 -2.087476E+07 -1.066508E+07 -8.146834E+06 -2.231570E+08 -3.746075E+07
         2  17 -1.443999E+07 -1.247225E+07  8.500483E+07 -1.189865E+07 -1.689666E+08 -4.020249E+07
         2  18  5.422966E+07  2.520153E+07  2.487183E+08 -1.574506E+07 -1.135466E+08 -4.721351E+07
         2  19  2.327945E+06 -7.119617E+06 -1.629100E+07  9.484043E+05 -3.411412E+08 -1.634921E+07
         2  20 -1.086180E+07 -2.058529E+07 -9.852271E+07  5.002094E+05 -2.248501E+08 -3.752453E+07
         2  21  9.860989E+06 -2.099455E+03 -1.017615E+08 -1.158487E+05 -1.072563E+08 -6.611450E+07
         2  22  7.286759E+06 -1.931548E+06 -1.256957E+07  2.156340E+05 -3.099330E+08 -3.277055E+07
         2  23 -1.632186E+06 -1.041842E+07 -8.408928E+07 -2.137613E+05 -1.974825E+08 -4.751543E+07
         2  24  2.102467E+07  1.280685E+07 -8.206846E+07 -8.110199E+05 -8.376597E+07 -6.966008E+07
         2  25  6.433455E+06 -2.456850E+06 -2.208059E+07 -3.309959E+05 -2.891030E+08 -4.897499E+07
         2  26 -1.139037E+06 -8.889265E+06 -8.971177E+07 -7.415917E+05 -1.805039E+08 -5.724880E+07
         2  27  2.052756E+07  1.405375E+07 -8.925476E+07 -1.320051E+06 -7.067542E+07 -7.290751E+07
         3   1 -2.730153E+08 -2.607515E+08 -7.095371E+08  6.930310E+06 -2.677534E+08 -3.836068E+07
         3   2 -1.204930E+08 -1.223645E+08 -3.457175E+08  5.269797E+06 -2.687648E+08 -4.080630E+07
         3   3  2.879558E+06 -1.314450E+07 -4.989687E+07  3.630605E+06 -2.685468E+08 -4.440557E+07
         3   4 -2.571040E+08 -2.414446E+08 -6.625958E+08 -2.830418E+05 -2.533876E+08 -1.496965E+07
         3   5 -1.026471E+08 -1.012129E+08 -2.943571E+08 -1.945943E+06 -2.575096E+08 -2.769753E+07
         3   6  2.032328E+07  7.514957E+06  4.302444E+05 -3.587523E+06 -2.603655E+08 -4.159392E+07
         3   7 -2.296827E+08 -2.106403E+08 -5.888398E+08 -7.520037E+06 -2.416233E+08  8.719518E+06
         3   8 -7.621560E+07 -7.148828E+07 -2.230055E+08 -9.185326E+06 -2.488451E+08 -1.433123E+07
         3   9  4.342826E+07  3.382313E+07  6.392515E+07 -1.082929E+07 -2.547643E+08 -3.856537E+07
         3  10 -5.422966E+07 -2.520153E+07 -2.487183E+08  1.574506E+07 -1.135466E+08 -4.721351E+07
         3  11  1.443999E+07  1.247225E+07 -8.500483E+07  1.189865E+07 -1.689666E+08 -4.020249E+07
         3  12  5.391518E+07  2.087476E+07  1.066508E+07  8.146834E+06 -2.231570E+08 -3.746075E+07
         3  13 -5.606678E+07 -1.901500E+07 -2.329312E+08 -3.993482E+05 -1.125045E+08 -3.389428E+07
         3  14  1.406527E+07  1.972223E+07 -6.622627E+07 -4.256352E+06 -1.714238E+08 -2.878142E+07
         3  15  5.266616E+07  2.685145E+07  2.698274E+07 -8.018763E+06 -2.290770E+08 -2.795270E+07
         3  16 -4.631853E+07 -1.298739E+06 -1.902970E+08 -1.664865E+07 -1.179630E+08 -2.027691E+07
         3  17  2.235159E+07  3.557759E+07 -2.742413E+07 -2.051625E+07 -1.803709E+08 -1.710282E+07
         3  18  5.715382E+07  3.850919E+07  5.650052E+07 -2.428925E+07 -2.414760E+08 -1.822775E+07
         3  19 -2.052756E+07 -1.405375E+07  8.925476E+07  1.320051E+06 -7.067542E+07 -7.290751E+07
         3  20  1.139037E+06  8.889265E+06  8.971177E+07  7.415917E+05 -1.805039E+08 -5.724880E+07
         3  21 -6.433455E+06  2.456850E+06  2.208059E+07  3.309959E+05 -2.891030E+08 -4.897499E+07
         3  22 -2.102467E+07 -1.280685E+07  8.206846E+07  8.110199E+05 -8.376597E+07 -6.966008E+07
         3  23  1.632186E+06  1.041842E+07  8.408928E+07  2.137613E+05 -1.974825E+08 -4.751543E+07
         3  24 -7.286759E+06  1.931548E+06  1.256957E+07 -2.156340E+05 -3.099330E+08 -3.277055E+07
         3  25 -9.860989E+06  2.099455E+03  1.017615E+08  1.158487E+05 -1.072563E+08 -6.611450E+07
         3  26  1.086180E+07  2.058529E+07  9.852271E+07 -5.002094E+05 -2.248501E+08 -3.752453E+07
         3  27 -2.327945E+06  7.119617E+06  1.629100E+07 -9.484043E+05 -3.411412E+08 -1.634921E+07
         4   1  1.505092E+06  1.291322E+07  7.008600E+07  5.099610E+06 -2.688176E+08 -4.601499E+07
         4   2  1.249123E+08  1.224568E+08  3.657160E+08  4.334406E+06 -2.700221E+08 -4.699053E+07
         4   3  2.772117E+08  2.609066E+08  7.287473E+08  3.583577E+06 -2.700007E+08 -4.763876E+07
         4   4  2.087201E+07  3.377860E+07  1.192804E+08 -1.971454E+06 -2.614061E+08 -4.906602E+07
         4   5  1.436831E+08  1.426621E+08  4.134591E+08 -2.733305E+06 -2.629238E+08 -5.987413E+07
         4   6  2.968466E+08  2.819119E+08  7.784458E+08 -3.480780E+06 -2.631909E+08 -7.034291E+07
         4   7  4.434947E+07  5.876180E+07  1.780903E+08 -9.060155E+06 -2.563255E+08 -5.192079E+07
         4   8  1.642791E+08  1.646998E+08  4.654849E+08 -9.818652E+06 -2.581626E+08 -7.259177E+07
         4   9  3.160211E+08  3.024641E+08  8.270945E+08 -1.056277E+07 -2.587244E+08 -9.291141E+07
         4  10 -6.428698E+07 -4.076426E+07 -1.498035E+07  1.144318E+07 -2.231879E+08 -3.764429E+07
         4  11 -2.458124E+07 -3.143949E+07  8.061350E+07  9.814859E+06 -1.691324E+08 -3.679306E+07
         4  12  4.405276E+07  6.875577E+06  2.436446E+08  8.250311E+06 -1.138508E+08 -3.366774E+07
         4  13 -6.005505E+07 -3.341743E+07  8.853274E+05 -4.365100E+06 -2.285033E+08 -2.893812E+07
         4  14 -2.171555E+07 -2.574295E+07  9.302256E+07 -5.978545E+06 -1.714458E+08 -2.891213E+07
         4  15  4.701228E+07  1.238190E+07  2.560039E+08 -7.528212E+06 -1.131376E+08 -2.660005E+07
         4  16 -5.175631E+07 -2.197152E+07  2.634779E+07 -2.025163E+07 -2.391967E+08 -2.003569E+07
         4  17 -1.706854E+07 -1.823281E+07  1.096957E+08 -2.185019E+07 -1.791435E+08 -2.086525E+07
         4  18  4.946766E+07  1.741637E+07  2.672945E+08 -2.338498E+07 -1.178149E+08 -1.939669E+07
         4  19  5.957475E+06 -3.718686E+05 -3.101477E+07  4.649225E+05 -2.889892E+08 -4.829871E+07
         4  20 -1.874389E+06 -6.883614E+06 -9.929328E+07  7.101272E+05 -1.796735E+08 -4.675698E+07
         4  21  1.925804E+07  1.567903E+07 -1.000985E+08  1.068510E+06 -6.913183E+07 -4.099439E+07
         4  22  4.632708E+06 -2.438608E+06 -4.437284E+07  2.864203E+04 -3.081675E+08 -2.783534E+07
         4  23 -5.335619E+06 -1.159087E+07 -1.181132E+08  3.002528E+05 -1.925348E+08 -1.811153E+07
         4  24  1.512043E+07  9.791334E+06 -1.209735E+08  6.850417E+05 -7.565141E+07 -4.154847E+06
         4  25  7.330984E+06 -4.250226E+05 -4.815287E+07 -5.464889E+05 -3.357713E+08 -7.175704E+06
         4  26 -7.059271E+06 -1.450327E+07 -1.326879E+08 -2.484719E+05 -2.138278E+08  1.069988E+07
         4  27  1.043494E+07  3.413031E+06 -1.429360E+08  1.627231E+05 -9.060890E+07  3.282035E+07
         5   1  6.503245E+07  4.530887E+07  5.221224E+08 -1.396178E+07 -5.500560E+07 -8.209460E+06
         5   2 -3.965874E+06 -4.052998E+06  2.563552E+08 -1.250630E+07 -1.503344E+08 -1.038667E+07
         5   3 -2.940336E+07 -1.042987E+07  9.280576E+07 -1.108195E+07 -2.401008E+08 -8.250880E+06
         5   4  6.493952E+07  4.264994E+07  5.018420E+08 -4.660948E+06 -4.109469E+07 -2.056888E+07
         5   5 -7.672664E+06 -9.990436E+06  2.275769E+08 -3.283995E+06 -1.322911E+08 -2.337401E+07
         5   6 -3.889851E+07 -2.182032E+07  5.045575E+07 -1.938169E+06 -2.177596E+08 -2.225426E+07
         5   7  6.436998E+07  3.909563E+07  4.790536E+08  4.776428E+06 -3.894346E+07 -3.184996E+07
         5   8 -8.462897E+06 -1.343010E+07  2.042080E+08  6.074854E+06 -1.257033E+08 -3.531728E+07
         5   9 -4.208394E+07 -2.731983E+07  2.143248E+07  7.342153E+06 -2.065694E+08 -3.524783E+07
         5  10  4.639313E+07  1.312173E+07  6.076423E+08 -1.067899E+07 -4.800466E+06  1.332531E+06
         5  11  6.865599E+06 -1.241194E+07  3.198687E+08 -9.442166E+06 -4.340315E+07 -2.458538E+05
         5  12  9.734549E+06  2.322568E+06  1.331485E+08 -7.905099E+06 -7.644349E+07 -4.105743E+05
         5  13  4.350000E+07  1.265652E+07  5.787833E+08 -3.137169E+06  1.464797E+06 -4.795339E+06
         5  14  2.022092E+06 -1.529199E+07  2.843212E+08 -2.146459E+06 -3.597840E+07 -6.055526E+06
         5  15  7.661652E+05 -5.146820E+06  8.583871E+07 -8.555092E+05 -6.769355E+07 -6.290165E+06
         5  16  4.226052E+07  1.220889E+07  5.483293E+08  4.472664E+06  4.945957E+05 -9.844872E+06
         5  17  2.225397E+06 -1.476130E+07  2.550961E+08  5.217257E+06 -3.548478E+07 -1.082113E+07
         5  18  2.377540E+05 -5.812303E+06  5.276862E+07  6.262090E+06 -6.557042E+07 -1.115995E+07
         5  19  3.777023E+07  3.005122E+07  7.109021E+08 -1.697097E+06  1.617689E+07  4.415555E+06
         5  20  1.697920E+07  3.299051E+06  3.903878E+08 -8.258690E+05  3.430028E+07  4.244657E+06
         5  21  3.742030E+07  1.409825E+07  1.697626E+08  6.769649E+05  5.798602E+07  2.588089E+06
         5  22  3.156259E+07  3.155929E+07  6.732441E+08 -3.070476E+06  1.560517E+07  4.519235E+06
         5  23  1.048466E+07  3.255969E+06  3.478507E+08 -2.612955E+06  3.191525E+07  5.612653E+06
         5  24  2.846436E+07  1.032951E+07  1.172726E+08 -1.523828E+06  5.395336E+07  4.832284E+06
         5  25  2.913886E+07  3.399792E+07  6.349041E+08 -4.444381E+06  1.232220E+07  5.701251E+06
         5  26  1.116719E+07  7.536597E+06  3.125490E+08 -4.400567E+06  2.712329E+07  8.024718E+06
         5  27  3.007866E+07  1.427764E+07  7.993525E+07 -3.725146E+06  4.781810E+07  8.086282E+06
         6   1  4.465729E+07  3.333157E+07  6.770106E+07 -1.338204E+07 -2.430623E+08 -4.755948E+06
