
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
       210 -5.216249E+02  4.556001E+03 -7.424471E+01
       211 -5.986928E+02  5.218501E+03 -4.061625E+02
       212 -5.971288E+02  5.217878E+03 -7.578718E+01
       213 -5.954694E+02  5.218135E+03  2.545870E+02
       214 -6.737819E+02  5.889388E+03 -7.672415E+01
       215 -7.514785E+02  6.566371E+03 -4.143734E+02
       216 -7.510612E+02  6.566170E+03 -7.723468E+01
       217 -7.506153E+02  6.566276E+03  2.599044E+02
       218 -8.285695E+02  7.244450E+03 -7.741025E+01
       219 -6.047094E+00  5.287423E+01 -5.897947E-13
       220 -2.318788E+01  2.063683E+02  9.418197E+01
       221 -2.360183E+01  2.027488E+02 -1.077136E+01
       222 -2.342504E+01  2.048225E+02 -1.222177E-12
       223 -2.360183E+01  2.027488E+02  1.077136E+01
       224 -2.318788E+01  2.063683E+02 -9.418197E+01
       225 -5.107814E+01  4.466141E+02 -1.885342E-12
       226 -8.780372E+01  7.735818E+02  1.756834E+02
       227 -8.847263E+01  7.677331E+02 -2.009248E+01
       228 -8.813504E+01  7.706300E+02 -2.120887E-12
       229 -8.847263E+01  7.677331E+02  2.009248E+01
       230 -8.780372E+01  7.735818E+02 -1.756834E+02
       231 -1.333974E+02  1.166392E+03 -4.114361E-12
       232 -1.856130E+02  1.626876E+03  2.386803E+02
       233 -1.860618E+02  1.622952E+03 -2.729727E+01
       234 -1.858380E+02  1.624920E+03 -4.422223E-12
       235 -1.860618E+02  1.622952E+03  2.729727E+01
       236 -1.856130E+02  1.626876E+03 -2.386803E+02
       237 -2.444363E+02  2.137288E+03 -5.212473E-12
       238 -3.080480E+02  2.696348E+03  2.843474E+02
       239 -3.083746E+02  2.693492E+03 -3.252010E+01
       240 -3.082111E+02  2.694918E+03 -7.222125E-12
       241 -3.083746E+02  2.693492E+03  3.252010E+01
       242 -3.080480E+02  2.696348E+03 -2.843474E+02
       243 -3.761984E+02  3.289382E+03 -7.154379E-12
       244 -4.474222E+02  3.913859E+03  3.141806E+02
       245 -4.476183E+02  3.912144E+03 -3.593205E+01
       246 -4.475202E+02  3.913001E+03 -8.745075E-12
       247 -4.476183E+02  3.912144E+03  3.593205E+01
       248 -4.474222E+02  3.913859E+03 -3.141806E+02
       249 -5.213409E+02  4.558470E+03 -9.747965E-12
       250 -5.968950E+02  5.219947E+03  3.306833E+02
       251 -5.969924E+02  5.219096E+03 -3.781942E+01
       252 -5.969436E+02  5.219521E+03 -7.311355E-12
       253 -5.969924E+02  5.219096E+03  3.781942E+01
       254 -5.968950E+02  5.219947E+03 -3.306833E+02
       255 -6.736671E+02  5.890371E+03 -3.492539E-12
       256 -7.509954E+02  6.566781E+03  3.373072E+02
       257 -7.510264E+02  6.566509E+03 -3.857699E+01
       258 -7.510108E+02  6.566645E+03 -2.023323E-12
       259 -7.510264E+02  6.566509E+03  3.857699E+01
       260 -7.509954E+02  6.566781E+03 -3.373072E+02
       261 -8.285483E+02  7.244613E+03  1.979386E-13

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.1000000E+01

         1   1  1.218596E+07  1.262849E+07  3.837497E+07 -3.798406E+05  4.389609E+06  8.803234E+05
         1   2  1.261717E+07  1.296517E+07  3.966050E+07 -4.363856E+04  2.487668E+06  2.413404E+06
         1   3  1.303490E+07  1.328723E+07  4.091571E+07  2.888212E+05  5.490830E+05  3.531098E+06
         1   4  5.700625E+06  5.490352E+06  1.887848E+07 -4.212168E+05  2.254296E+06 -3.736439E+05
         1   5  6.277995E+06  5.988515E+06  2.052215E+07 -8.442913E+04  1.255543E+06  1.057844E+06
         1   6  6.835089E+06  6.465256E+06  2.211966E+07  2.486162E+05  2.137143E+05  2.072961E+06
         1   7 -5.613671E+05 -1.426764E+06 -1.046054E+05 -4.586737E+05  1.664966E+05 -1.193816E+06
         1   8  1.740390E+05 -7.552425E+05  1.924928E+06 -1.213005E+05  7.291994E+04  1.428133E+05
         1   9  8.823730E+05 -1.119376E+05  3.892436E+06  2.123305E+05 -7.016215E+04  1.062089E+06
         1  10  1.435957E+05  1.087930E+06  3.162145E+07 -8.304075E+05  1.122040E+06  6.872826E+05
